name,title,role
Miss Emma Serrano,Area Coroner,Staffordshire and Stoke-on-Trent
Mr Oliver Robert Longstaff,Area Coroner,Yorkshire West Eastern
Mrs Joanne Lees,Area Coroner,The Black Country Jurisdiction
Miss Catherine Bisset,Area Coroner,Lancashire and Blackburn with Darwen
Mr Brendan Joseph Allen,Area Coroner,Dorset
Ms Katrina Hepburn,Area Coroner,Kent Central and South East
Mrs Joanne Andrews,Area Coroner,"West Sussex, Brighton and Hove"
Mrs Patricia Claire Morgan,Area Coroner,South Wales Central
Mr James Bennett,Area Coroner,Birmingham and Solihull
Mr Alan Peter Walsh,Area Coroner,Greater Manchester West
Ms Joy Michelle Brown OBE,Area Coroner,Essex
Mr Christopher John Long,Area Coroner,Lancashire and Blackburn with Darwen
Mr Ivan Cartwright,Area Coroner,Leicester City and South Leicestershire
Ms Sonia Marie Hayes,Area Coroner,Essex
Mrs Anita Bhardwaj,Area Coroner,Liverpool and the Wirral
Ms Catherine Cundy,Area Coroner,North Yorkshire and York
Mr Simon Milburn,Area Coroner,Cambridgeshire and Peterborough
Mr Zak Golombeck,Area Coroner,Manchester City
Mrs Claire Welch,Area Coroner,Cheshire
Miss Lorraine Harris,Area Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Ms Elizabeth Gray,Area Coroner,Cambridgeshire and Peterborough
Miss Kirsty Gomersal,Area Coroner,Cumbria
Miss Jayne Wilkes,Area Coroner,Lincolnshire
Mrs Rosamund Rhodes-Kemp,Area Coroner,"Hampshire, Portsmouth and Southampton"
Ms Yvonne Kathleen Blake,Area Coroner,Norfolk
Mrs SARAH LOUISE SLATER,Area Coroner,Yorkshire South East
Mrs Samantha Goward,Area Coroner,Norfolk
Mr Peter Sigee,Area Coroner,Greater Manchester West
Mr Kimberley Ian Singleton,Area Coroner,Wiltshire and Swindon
Dr Crona Gallagher,Area Coroner,Corresponding Member
Mr Simon Wickens,Area Coroner,Surrey
Ms Anna Morris,Assistant Coroner,Greater Manchester South
Miss Karin Elizabeth Welsh,Assistant Coroner,Sunderland
Mr Xavier Mooyaart,Assistant Coroner,London Inner South
Mr Michael James Pemberton,Assistant Coroner,The Black Country Jurisdiction
Mr Stephen Simblet KC,Assistant Coroner,Essex
Ms Leanne Woods,Assistant Coroner,London East
Timothy H Ratcliffe,Assistant Coroner,Yorkshire West Western
Ms Sophie Lomas,Assistant Coroner,Derby and Derbyshire
Mr Heath Westerman,Assistant Coroner,"Shropshire, Telford and Wrekin"
Dr Karen Henderson,Assistant Coroner,Surrey
Miss Jessica Swift,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Dr Julian Rupert Laurence Morris,Assistant Coroner,London Inner South
Ms Vanessa McKinlay,Assistant Coroner,Birmingham and Solihull
Mr Nadim Bashir,Assistant Coroner,Yorkshire East
Miss Sophie Cartwright KC,Assistant Coroner,Derby and Derbyshire
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Anthony Howard,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Alexander Miles Frodsham,Assistant Coroner,Cheshire
Mr Russell Ashley Caller,Assistant Coroner,London Inner West
Mr Philip Barlow,Assistant Coroner,London Inner South
Ms Justine Spencer,Assistant Coroner,Berkshire
Mr Christopher Briggs,Assistant Coroner,Greater Manchester South
Mr Christopher Briggs,Assistant Coroner,Greater Manchester South
Mr Scott Matthewson,Assistant Coroner,Kent Mid and Medway
Miss Laura Nash,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Hannah Mettam,Assistant Coroner,Nottinghamshire
Mr Graham William Anthony Jackson,Assistant Coroner,"Sefton, Knowsley and St Helens"
Mr Gordon Clow,Assistant Coroner,Nottinghamshire
Mr Sukhdev Garcha,Assistant Coroner,Staffordshire and Stoke-on-Trent
Ms Sabina Khan,Assistant Coroner,London Inner West
Ms jessica russell-mitra,Assistant Coroner,Retired Member
Mr Nick Seán Stanage,Assistant Coroner,Manchester City
Neil Joseph Cronin,Assistant Coroner,Lancashire and Blackburn with Darwen
Sian Scott Jones,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Alexander Miles Frodsham,Assistant Coroner,Cheshire
Mr Roland John Taylor Wooderson,Assistant Coroner,Herefordshire
Ms Alexandra Pountney,Assistant Coroner,Yorkshire South West
Mr Sebastian Hugh Joseph Naughton,Assistant Coroner,London South
Miss Rachel Elisabeth Knight,Assistant Coroner,South Wales Central
Miss Kate Thomas,Assistant Coroner,Kent Mid and Medway
Kevin Paul Eastwick,Assistant Coroner,Essex
Mr Ian Mullarkey,Assistant Coroner,Yorkshire South East
Ms Heather Williams,Assistant Coroner,Retired Member
Ms Melanie Lee,Assistant Coroner,London Inner North
Mr Peter Taheri,Assistant Coroner,Suffolk
Mr Andrew Michael Bridgman,Assistant Coroner,Greater Manchester South
Ms Catherine Judith Wood,Assistant Coroner,London West
John Ryan,Assistant Coroner,Coventry
Ms Fleur Hallett,Assistant Coroner,London Inner South
Miss Sabyta Kaushal,Assistant Coroner,Derby and Derbyshire
Mrs Karen Harrold,Assistant Coroner,"West Sussex, Brighton and Hove"
Mrs Helen Rachel Redman,Assistant Coroner,East Sussex
Mr Thomas Crookes,Assistant Coroner,Newcastle and North Tyneside
Mrs Priya Malhotra,Assistant Coroner,London Inner West
Miss Anna Crawford,Assistant Coroner,Surrey
Mrs Lindsey Tonks,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Nicholas Moss QC,Assistant Coroner,Cambridgeshire and Peterborough
Ms Johanna Thompson,Assistant Coroner,Norfolk
Mr Professor John S Pollard,Assistant Coroner,Greater Manchester West
Miss Michelle Haste,Assistant Coroner,London Inner South
Mr christopher paul williams,Assistant Coroner,London Inner South
Mr J Mark Layton,Assistant Coroner,Ceredigion
Miss Sarah Anna Middleton,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Ms Samantha Broadfoot,Assistant Coroner,Cambridgeshire and Peterborough
Miss Elizabeth Dudley-Jones,Assistant Coroner,North Wales (East & Central)
Dr Sarah-Jane Richards,Assistant Coroner,South Wales Central
Mr Alan James Blunsdon,Assistant Coroner,Kent North West
Mr Jonathan D P Stevens,Assistant Coroner,London Inner North
Mr Joseph Hart,Assistant Coroner,Liverpool and the Wirral
Ms Sarah Le Fevre,Assistant Coroner,Gwent
Mrs Elizabeth Megan Brown,Assistant Coroner,Nottinghamshire
Thomas Victor Laffey,Assistant Coroner,Gateshead and South Tyneside
Mr Tim Suter,Assistant Coroner,Berkshire
Mr David Pojur,Assistant Coroner,North Wales (East & Central)
Dr Shirley Radcliffe,Assistant Coroner,London Inner West
Ms Alicia Keen,Assistant Coroner,"West Sussex, Brighton and Hove"
Miss Kirsten Mercer,Assistant Coroner,Newcastle and North Tyneside
Mr Edward Ramsay,Assistant Coroner,Swansea and Neath Port Talbot
J. Nigel Anderson,Assistant Coroner,Derby and Derbyshire
Mr Stephen Peter Teasdale,Assistant Coroner,Greater Manchester West
Mrs Katy Dickinson,Assistant Coroner,Yorkshire South West
Dr Margaret Bayes MBE,Assistant Coroner,Corresponding Member
Mr Ian Christopher James Dreelan,Assistant Coroner,Birmingham and Solihull
SARAH ANNE MARGARET MARTIN,Assistant Coroner,Wolverhampton
Dr Anton van Dellen,Assistant Coroner,London West
Mr Edward Steele,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mrs Dianne Hocking,Assistant Coroner,Leicester City and South Leicestershire
Mr Scott McDonnell,Assistant Coroner,Surrey
Mrs Alison Norton,Assistant Coroner,North Yorkshire and York
Miss Janine Wolstenholme,Assistant Coroner,Yorkshire West Eastern
Ms Deborah Archer,Assistant Coroner,"Plymouth, Torbay and South Devon"
Ms Gilva Dagmar Jane Tisshaw,Assistant Coroner,Brighton and Hove
Ms Sarah Nolan,Assistant Coroner,Derby and Derbyshire
Mr Edwin Buckett,Assistant Coroner,London Inner North
Miss Linda Jacobs,Assistant Coroner,London City
Miss Neena Sharma,Assistant Coroner,Nottinghamshire
Mr Richard Watson,Assistant Coroner,North Yorkshire and York
Mr Martin Douglas Oldham,Assistant Coroner,Retired Member
Ms Caroline Cross,Assistant Coroner,London Inner South
Miss Sarah Riley,Assistant Coroner,North West Wales
Dr Austin Stoton,Assistant Coroner,Essex
Miss Ceri Owen,Assistant Coroner,Greater Manchester West
Dr Sam Bass,Assistant Coroner,Cambridgeshire and Peterborough
Mr Gareth Lewis,Assistant Coroner,Carmarthenshire and Pembrokeshire
Mr Michael Wallbank,Assistant Coroner,Greater Manchester South
Ms Rachel Spearing,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Jo Cooper,Assistant Coroner,Kent Mid and Medway
Mrs Nathalie Ann James,Assistant Coroner,Yorkshire South West
Ms Leila Benyounes,Assistant Coroner,Gateshead and South Tyneside
Mr James Edward Thompson,Assistant Coroner,County Durham and Darlington
Mrs Jo Wharton,Assistant Coroner,Teesside
Ms Fiona Borrill,Assistant Coroner,Manchester City
Mrs Eleanor Kay McGann,Assistant Coroner,Essex
Mr Joseph Turner,Assistant Coroner,Brighton and Hove
Mr Simon Connolly,Assistant Coroner,County Durham and Darlington
Sara Sutherland,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Andrew David Cousins,Assistant Coroner,Blackpool and Fylde
Mr Matthew Kewley,Assistant Coroner,Derby and Derbyshire
Mr Stephen George Eccleston,Assistant Coroner,Yorkshire South West
Ms Susan Ridge,Assistant Coroner,Surrey
Mr Michael Wall,Assistant Coroner,Nottinghamshire
Mr David Place,Assistant Coroner,Sunderland
Miss Sarah Valentine,Assistant Coroner,London Inner South
Mrs kirsten heaven,Assistant Coroner,Swansea and Neath Port Talbot
Mr Benjamin Haigh,Assistant Coroner,Teesside
Mr James Healy-Pratt,Assistant Coroner,East Sussex
Mr Ian Potter,Assistant Coroner,London Inner North
Dr Bridget Dolan QC,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Simon Tait,Assistant Coroner,Yorkshire South East
Mr Anthony Mazzag,Assistant Coroner,Manchester City
Mr James Gormley,Assistant Coroner,Gwent
Mr Paul Dunn,Assistant Coroner,Northumberland South
Mrs Laura May Bradford,Assistant Coroner,East Sussex
Mr Philip Anthony Holden,Assistant Coroner,Yorkshire West Eastern
Miss Fiona Morrison,Assistant Coroner,Yorkshire South West
Ms Karen Dempsey,Assistant Coroner,London South
Miss Lorna Jane Skinner QC,Assistant Coroner,Cambridgeshire and Peterborough
Dr Leslie Hamilton,Assistant Coroner,County Durham and Darlington
Mr Ian Geoffrey Pears,Assistant Coroner,Yorkshire West Western
Mrs Deborah Rachel Lakin,Assistant Coroner,Warwickshire
Mr Gavin Knox,Assistant Coroner,South Wales Central
Dr Séan Cummings,Assistant Coroner,Milton Keynes
Ms Louise Wiltshire,Assistant Coroner,"Plymouth, Torbay and South Devon"
Ms Sally Hatfield,Assistant Coroner,Manchester City
Olivia M Davison,Assistant Coroner,Rutland and North Leicestershire
Mr Kevin Baumber,Assistant Coroner,Hertfordshire
Mr Michael Louis Sheridan Mellun,Assistant Coroner,Retired Member
Mr Nathanael James Hartley,Assistant Coroner,Nottinghamshire
Mr James Brooks,Assistant Coroner,Corresponding Member
Mr Jake Taylor,Assistant Coroner,London Inner West
Ms Rachel Galloway,Assistant Coroner,Lancashire and Blackburn with Darwen
Peter Blackwell Smyth,Assistant Coroner,Cornwall and the Isles of Scilly
Miss Fiona Jane Gingell,Assistant Coroner,Nottinghamshire
Mr Chris Murray,Assistant Coroner,Greater Manchester South
Miss Caroline Topping,Assistant Coroner,Surrey
James Stewart Hunter,Assistant Coroner,Lancashire and Blackburn with Darwen
Mrs Elizabeth Wheeler,Assistant Coroner,Cheshire
Mr Richard Glyn Moore Hughes,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mrs Marilyn Whittle,Assistant Coroner,Yorkshire South West
Ms Hannah Godfrey,Assistant Coroner,London South
Dr Crona Gallagher,Assistant Coroner,Corresponding Member
Richard Baker,Assistant Coroner,Yorkshire South East
Ms Myfanwy Buckeridge,Assistant Coroner,Avon
Mr Jonathan Landau,Assistant Coroner,London South
Dr Jason Wells,Assistant Coroner,Greater Manchester South
Mrs Rose farmer,Assistant Coroner,Gwent
Miss Kerrie Burge,Assistant Coroner,South Wales Central
Mr Neil Cameron,Assistant Coroner,Yorkshire South East
Dr Murray James Spittal,Assistant Coroner,Lincolnshire
Mrs Aliya Rashid,Assistant Coroner,Bedfordshire and Luton
Miss Charlotte Mary Crangle,Assistant Coroner,Derby and Derbyshire
Dr Simon Fox QC,Assistant Coroner,Avon
Dr Frances Mary Cranfield,Assistant Coroner,Hertfordshire
Mr Paul John Rogers,Assistant Coroner,London Inner West
Mr Nicholas Mark Flanagan,Assistant Coroner,Greater Manchester North
Mrs Lisa Anne Hammond Naylor,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Simon Brenchley,Assistant Coroner,Birmingham and Solihull
Mrs Deborah Suzanne Rookes,Assistant Coroner,Dorset
Dr Elizabeth Didcock,Assistant Coroner,Nottinghamshire
Laura Wendy Johnson,Assistant Coroner,London East
Sir Scott Baker,Assistant Coroner,Honorary Member
Mr Matthew A Cox,Assistant Coroner,Greater Manchester North
Ms ANN MARGARET TAYLOR,Assistant Coroner,Cumbria
Mr Tony Badenoch,Assistant Coroner,London Inner South
Mr Mark Andrew Beresford,Assistant Coroner,Yorkshire South
Mr Keith Morton QC,Assistant Coroner,Cambridgeshire and Peterborough
Mr Nicholas Graham,Assistant Coroner,Oxfordshire
Ms Saba Naqshbandi,Assistant Coroner,London Inner North
Ms Sarah Bourke,Assistant Coroner,London Inner North
Miss Louise E Rae,Assistant Coroner,Blackpool and Fylde
Miss Rebecca Louise Covington,Assistant Coroner,Nottinghamshire
Donald Georgelin,Assistant Coroner,Corresponding Member
Miss Bronia Elisabeth Hartley,Assistant Coroner,Greater Manchester West
Mr John Hobson,Assistant Coroner,Yorkshire West Eastern
Mr James Jerome Dillon,Assistant Coroner,Kent North East
Mr Robert Craig Simpson,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Patrick Cassidy,Assistant Coroner,Blackpool and Fylde
Miss Thea Wilson,Assistant Coroner,Essex
Mr Mike Bird,Assistant Coroner,Derby and Derbyshire
Dr Daniel Sharpstone,Assistant Coroner,Suffolk
Mrs Sarah L. Whitby,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Miss Clare Doherty,Assistant Coroner,Blackpool and Fylde
Miss S DEONARINE,Assistant Coroner,London Inner South
Mrs Sally Anne Robinson,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Tim Deeming,Assistant Coroner,Suffolk
Mr Rob Sowersby,Assistant Coroner,Avon
Ms Valerie Charbit,Assistant Coroner,London West
Ms Kate Wilson,Assistant Coroner,Liverpool and the Wirral
Mr Grant Davies,Assistant Coroner,Dorset
Mr Ivor Collett,Assistant Coroner,London West
Ms Tina Amanda Harrington,Assistant Coroner,Essex
Miss Kelly Elizabeth Dixon,Assistant Coroner,The Black Country Jurisdiction
Mr David Lewis,Assistant Coroner,Liverpool and the Wirral
Ms Amy Street,Assistant Coroner,Bedfordshire and Luton
Miss Alison McCormick,Assistant Coroner,Buckinghamshire
Ms Judith Vanessa Leach,Assistant Coroner,Oxfordshire
Miss Sarah Jane Wood,Assistant Coroner,Nottinghamshire
Ms Fiona King,Assistant Coroner,East Sussex
Mr Simon Jones,Assistant Coroner,Lancashire and Blackburn with Darwen
Dr Liliane Marthe Field,Assistant Coroner,London Inner South
Miss Fiona Butler,Assistant Coroner,The Black Country Jurisdiction
Ms Rebecca Anne Mundy,Assistant Coroner,Essex
Ms Justine Spencer,Assistant Coroner,Berkshire
Arthur Joseph Pim,Assistant Coroner,Retired Member
Dr M D Dominic Bell,Assistant Coroner,Yorkshire West Western
Mr Adam Smith,Assistant Coroner,Milton Keynes
Mr SIMON NELSON,Assistant Coroner,Greater Manchester West
Mrs Karen Dilks,Assistant Coroner,Newcastle and North Tyneside
Miss Sunyana Sharma,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Ms Gemma Brannigan,Assistant Coroner,Oxfordshire
Mrs Rebecca Connell,Assistant Coroner,Yorkshire South West
Ms Susanna Rickard,Assistant Coroner,Birmingham and Solihull
Miss Sarah Watson,Assistant Coroner,Yorkshire West Eastern
Mr James Newman,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss CARLY ELIZABETH HENLEY,Assistant Coroner,Northumberland North
Mr Thomas Richard Geoffrey Leeper,Assistant Coroner,Warwickshire
Mrs Sally Morgan,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Andrew Morse,Assistant Coroner,South Wales Central
Mr Crispin Oliver,Assistant Coroner,County Durham and Darlington
Mr Tim Holloway,Assistant Coroner,Blackpool and Fylde
Mr Tom Stoate,Assistant Coroner,Bedfordshire and Luton
Mr Stephen Covell,Assistant Coroner,Cornwall and the Isles of Scilly
Ms michelle okeeffe,Assistant Coroner,Surrey
Miss Amanda Jane Bewley,Assistant Coroner,Nottinghamshire
Mr Ian Arrow,Assistant Coroner,London West
Mrs Emma Hillson,Assistant Coroner,Cornwall and the Isles of Scilly
Mr Duncan Ritchie,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Paul Michael Appleton,Assistant Coroner,Teesside
Mrs Anna Loxton,Assistant Coroner,Surrey
Mr Philip Vollans,Assistant Coroner,Staffordshire and Stoke-on-Trent
Samuel James Faulks,Assistant Coroner,Teesside
Helen Daly,Assistant Coroner,London North
Dr Peter Henry Straker,Assistant Coroner,London North
Mrs Rebecca Sutton,Assistant Coroner,County Durham and Darlington
Joanna Lesley Pratt,Assistant Coroner,East Sussex
Mr Christopher Leach,Assistant Coroner,Norfolk
Ms Marianne Johnson,Assistant Coroner,Lincolnshire
Mrs Hannah Victoria Berry,Assistant Coroner,Yorkshire South West
Mr Edmund Gritt,Assistant Coroner,London South
Mr Michael Walsh,Assistant Coroner,Oxfordshire
Mr John Joseph Buckley,Assistant Coroner,Warwickshire
Mr Aled Wyn Gruffydd,Assistant Coroner,Swansea and Neath Port Talbot
Mr Matthew Stanbury,Assistant Coroner,Yorkshire South East
Mr JOHN BROADBRIDGE,Assistant Coroner,North Yorkshire and York
Mrs LINDA KAREN HADFIELD LEE,Assistant Coroner,Coventry
Miss Sian Reeves,Assistant Coroner,London South
Ms Allison SUMMERS,Assistant Coroner,Kent Mid and Medway
Mr Adam Hodson,Assistant Coroner,Birmingham and Solihull
Dr Rashid Sohail,Assistant Coroner,Manchester City
Miss Isobel Thistlethwaite,Assistant Coroner,Leicester City and South Leicestershire
Miss Naomi Rees,Assistant Coroner,Gwent
Mr Richard Thomas Middleton,Assistant Coroner,Dorset
Dr Nick Armstrong,Assistant Coroner,Brighton and Hove
Carolyn Lesley Hull,Assistant Coroner,Rutland and North Leicestershire
Mrs Gaynor Kynaston,Assistant Coroner,South Wales Central
Ms Ellie Oakley,Assistant Coroner,London Inner West
Mr Philip Barlow,Assistant Coroner,London Inner South
Mr Nicholas Walker,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Jonathan Straw,Assistant Coroner,Nottinghamshire
Miss ana samuel,Assistant Coroner,Birmingham and Solihull
Ms Nicola Jones,Assistant Coroner,Retired Member
