sent_to,count
South East Coast Ambulance Service NHS Foundation Trust,3
Civil Aviation Authority,3
Somerset NHS Foundation Trust,3
Ministry of Defence,3
Lewisham and Greenwich NHS Trust,2
Royal Berkshire NHS Foundation Trust,2
HM Inspectorate of Prisons,2
Lewisham Council,2
Royal College of Surgeons,2
Royal College of Veterinary Surgeons,2
The Newcastle upon Tyne Hospitals NHS Foundation Trust,2
British Standards Institution,2
"Tees, Esk and Wear Valley NHS Foundation Trust",2
Nottingham University Hospitals NHS Trust,2
Nottingham and Nottinghamshire Police,2
Nottinghamshire Healthcare NHS Foundation Trust,2
CQC North,2
Nottinghamshire Police,2
Lancashire Teaching Hospitals NHS Foundation Trust,2
Royal College of Pathologists,2
Nursing and Midwifery Council,2
Nottingham Emergency Medical Service,2
Epsom and St Helier University Hospitals NHS Trust,2
Essex Partnership University NHS Trust,2
Greater Manchester Integrated Care Board,2
Sherwood Forest Hospitals NHS Foundation Trust,2
Surrey and Borders Partnership NHS Foundation Trust,2
Financial Conduct Authority,2
Gloucestershire Health and Care NHS Foundation Trust,2
"Barking, Havering and Redbridge University Hospitals NHS Trust",2
Islington Council,2
South Tyneside and Sunderland NHS Foundation Trust,2
"Department for Environment, Food and Rural Affairs",2
South West Yorkshire Partnership NHS Foundation Trust,2
Frimley Health NHS Foundation Trust,2
South Western Ambulance Service NHS Foundation Trust,2
Independent Office for Police Conduct,2
Royal Pharmaceutical Society,2
Oxford University Hospitals NHS Foundation Trust,2
Royal Yachting Association,2
Lincolnshire County Council,2
HM Prison Wormwood Scrubs,2
Pennine Care NHS Foundation Trust,2
Thames Valley Police,2
South Wales Police,2
The Princess Alexandra Hospital NHS Trust,2
Birmingham City Council,2
Warwickshire Police,2
Association of Anaesthetists,2
Association of Ambulance Chief Executives,2
Associated British Ports,2
Veterinary Medicines Directorate,2
Northern Care Alliance NHS Foundation Trust,2
North West Anglia NHS Foundation Trust,2
Calderdale and Huddersfield NHS Foundation Trust,2
Cardinal Healthcare,2
NHS Hampshire and Isle of Wight Integrated Care Board,2
NHS Dorset Integrated Care Board,2
Newham Council,2
Bradford Council,2
Network Rail,2
Central and North West London NHS Foundation Trust,2
Chelsea and Westminster Hospital NHS Foundation Trust,2
NHS Sussex Integrated Care Board,2
York and Scarborough Teaching Hospitals NHS Foundation Trust,2
NHS Nottingham and Nottinghamshire Integrated Care Board,2
Mitie Group,2
NHS North East and North Cumbria Integrated Care Board,2
Royal College of Anaesthetists,2
North West Ambulance Service NHS Trust,2
Ofcom,2
North East London NHS Foundation Trust,2
Manchester University NHS Foundation Trust,2
Red Oaks Care Community,1
Redcar Council,1
"NHS Shropshire, Telford and Wrekin ICB",1
Neonatal Network,1
Red Bay Boats Ltd,1
Network Agencies Estate Agents,1
NHS Staffordshire and Stoke-on-Trent ICB,1
Norfolk Community Health and Care NHS Trust,1
Rail Safety Board,1
NHS South Yorkshire Integrated Care Board,1
NHS South West London Integrated Care Board,1
NHS Herefordshire and Worcestershire ICB,1
Resus Council UK,1
Portsmouth Hospitals University NHS Trust,1
Plymouth City Council,1
President of the Royal College of General Practitioners,1
Royal Devon University Healthcare NHS Foundation,1
Prestwick Care,1
NHS Mid and South Essex Integrated Care Board,1
NHS Lancashire and South Cumbria Integrated Care Board,1
National Trading Standards,1
Priory Group Limited,1
NHS Northamptonshire Integrated Care Board,1
Provident Housing,1
Queen Mary’s University of London,1
NHS Kent and Medway Integrated Care Board,1
NHS Hertfordshire and West Essex Integrated Care Board,1
Royal College of Radiology,1
RCRP Strategic Partnership Board,1
Primary Care NHS Devon,1
Northamptonshire Police,1
Northamptonshire Children Safeguarding Partnership,1
Northampton General Hospital NHS Trust,1
Pendine Park Care Organisation,1
Northampton General Hospital,1
North Yorkshire Council,1
North Staffordshire Combined Healthcare NHS Trust,1
Pharmacy2U Limited,1
North East Ambulance Service NHS Foundation Trust,1
North Cumbria Integrated Care NHS Foundation Trust,1
Royal College of Nursing,1
Norfolk and Suffolk NHS Foundation Trust,1
Norfolk Swift Response,1
Bamford Grange Care Home,1
BT,1
BSI Group,1
BARDOC,1
Optum,1
Oldham Council,1
Officer of the College of Policing,1
Oak Tree Mews Care Home,1
North Court Care Home – Maven Healthcare,1
National Register of Communication Professionals working with Deaf and Deafblind people (NRCPD),1
National Police Air Service,1
Revon Healthcare,1
Rhondda Cynon Taf County Borough Council,1
National Farmers Union,1
Bank Close House Residential Care Home,1
Barchester Healthcare Ltd,1
National Director FOR Mental Health,1
Basildon Car Park Management,1
Beccles Medical Centre,1
Oxfordshire County Council,1
NHS West Yorkshire Integrated Care Board,1
Bedford General Hospital,1
Bedford Hospitals NHS Foundation Trust,1
NHS University Hospitals Trust Plymouth,1
Bedfordshire Hospitals NHS Foundation Trust,1
Bedfordshire Police,1
Belle Green Court Care Home,1
NHS Sussex,1
Oracle,1
Northumberland Children’s and Adults Safeguarding Partnership,1
NRS Healthcare,1
UK Major Ports Group,1
Uber Eats,1
United Kingdom Harbour Masters' Association,1
University College London Hospitals NHS Foundation Trust,1
University Hospital Southampton NHS Foundation Trust,1
University Hospitals of Morecambe Bay NHS Foundation Trust,1
Ashton Lodge Care Home,1
Aspray House Nursing Home,1
Association for Petroleum and Explosives Administration,1
Association of British Insurers,1
The Petroleum Enforcement Liaison Group,1
The President of the British Society of Gastroenterology,1
The Riverside Group Limited,1
The Road Surface Treatments Association,1
NHS Suffolk and North East Essex Integrated Care Board,1
The Rotherham NHS Foundation Trust,1
The Royal College of General Practitioners (RCGP),1
The Royal Orthopaedic Hospital NHS Foundation Trust,1
The Royal Wolverhampton NHS Trust,1
The Telecare Services Association,1
The Unite Group plc,1
The Yacht Harbour Association,1
The York Hospital,1
Tower Hamlets Council,1
Townhead Surgery,1
The Children’s Trust,1
The City of London,1
The Crown Premises Fire & Safety Inspectorate,1
The First Minister of Wales,1
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1
Association of Coloproctology of Great Britain,1
"Association of Directors of Environment, Economy, Planning & Transport",1
Association of Manufacturers of Domestic Appliances,1
Association of the British Pharmaceutical Industry,1
Attleborough Surgery,1
Avon and Somerset Police,1
Avon and Wiltshire Mental Health Partnership NHS Trust,1
BARCHESTER HEALTHCARE LIMITED,1
University Hospitals of Northamptonshire,1
University Hospitals of Northamptonshire NHS Group,1
University of Arts London,1
Victoria Residential Home,1
Vita health Group : Kent and Medway Talking Therapies,1
1st Care 4U,1
Toyota PLC,1
ASHTON MEDICAL PRACTICE,1
Abbey Healthcare Homes Limited,1
Abbey Place Nursing Home,1
Acer Mews Care Home,1
Addison House Surgery,1
Advisory Council on the Misuse of Drugs,1
Affinity Water,1
Agricultural Engineers Association,1
Airedale NHS Foundation Trust,1
Alexandra & Crestview Surgeries,1
Alexandra Homes Ltd,1
All Care In One Ltd,1
Arts University Bournemouth,1
West Midlands Ambulance Service University NHS Foundation Trust,1
49 Marine Avenue Surgery,1
Association of British Travel Agents,1
Sub Aqua Association Spcae Solutions Business Centre,1
Surrey Police,1
Sheffield Teaching Hospitals NHS Foundation Trust,1
Sheffield Wednesday Football Club,1
Snap Group Limited,1
Social Work England,1
Sodexo,1
Somerset NHS Foundation Trust (Musgrove Park Hospital Trust),1
South Tees Hospitals NHS Foundation Trust,1
South West London and St George’s Mental Health NHS Trust,1
Royal Devon University Healthcare NHS Foundation Trust,1
Royal National Lifeboat Institution,1
Royal Society for the Prevention of Accidents,1
Royal Surrey NHS Foundation Trust,1
The Gambling Commission,1
SCAS Legal Services,1
SSP Health Ltd,1
SSP Health Medical Services Ltd,1
Sanctuary Housing,1
Sandwell and West Birmingham Hospitals NHS Trust,1
Serco,1
Service Director for Environment Cornwall Council,1
Sett Valley Medical Centre,1
"Sheffield Health Partnership, University NHS Foundation Trust",1
Riversdale Care Home,1
Road (Highways Safety) related deaths,1
Rotherham Metropolitan Borough Council,1
Royal Borough of Greenwich,1
Royal Borough of Kensington and Chelsea,1
Royal College of Midwives,1
Russells Hall Hospital,1
The General Optical Council,1
The Governor HMP Stocken,1
The Lakes Care Centre,1
The Lift and Escalator Industry Association,1
The Manor Clinic Folkestone Kent,1
The Manor House North Walsham Care Home,1
The Mayor of London,1
The Medicine and Healthcare Products and Regulatory Agency,1
The Nerams Group,1
The Pembroke Medical Practice,1
TUI UK,1
Tameside Metropolitan Borough Council,1
Tavistock and Portman NHS Foundation Trust,1
The British Orthopaedic Association,1
Stryker (UK) Ltd,1
The Chief Executive Security Industry Authority (SIA),1
The Chief Executive Tesco PLC,1
The Chief Executive Total Security Services Limited (TSS),1
The Chief Executive of Powys Teaching Hospital Board,1
"The Chief Executive, Great Western Hospitals, NHS Trust Marlborough Road, Swindon, SN3 6BB",1
"The Chief Executive, Tameside and Glossop Integrated Care NHS  Foundation Trust",1
South Western Railway,1
Southwark Council,1
Springcare Care Homes Ltd,1
St Mungo’s,1
Staffordshire Highways,1
Stewarts Law,1
Stockton Council,1
Stoke Mandeville Hospital,1
Stoke Talking Therapies,1
The Chief Executive Cardiff & Vale University Health Board,1
Electricity Networks Association,1
Elysium Healthcare,1
Daryel Care,1
Daynight Pharmacy,1
Dearne Valley Group Practice,1
Deliveroo,1
Derbyshire Community Health Services NHS Foundation Trust,1
Derbyshire Healthcare NHS Foundation Trust,1
Devon ICB,1
Devon Integrated Care Board,1
Difficult Airway Society,1
Doncaster Council,1
Dorset Council,1
British Association of Perinatal Medicine,1
British Marine,1
Brake,1
British Society for Haematology (BSH),1
British Society of Gastroenterology,1
British Sub Aqua Association,1
British Transport Police,1
Brooker Group Limited,1
CGL (Ealing RISE),1
Cumbria Health Limited,1
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",1
Cyngor Bwrdeistref Sirol Pen-y-Bont ar Ogwr,1
Dalton Surgery,1
Clare House Surgery,1
Complex Spine Clinic,1
County Durham & Darlington NHS Foundation Trust,1
Coventry and Warwickshire Partnership NHS Trust,1
Crisis Resolution Team,1
British Ports Association,1
G4S Care & Justice Services UK Ltd,1
Gateshead Council,1
General Chiropractic Council,1
General Pharmaceutical Council,1
Google,1
Government Legal Department,1
Granddwell Estates,1
Great Ormond Street Hospital for Children NHS Foundation Trust,1
Emergency Call Prioritisation Advisory Group,1
Energy Institute,1
Esher Green Surgery,1
Essex Police,1
Essex University Partnership Trust,1
European Aviation Safety Agency,1
European Union Aviation Safety Authority,1
Egton Medical Information Systems,1
Festimed,1
Fixodent,1
Flixton Road Medical Centre,1
Fold Nightclub,1
Durham Constabulary,1
Durham County Council,1
ERYC Highways Department,1
East Kent Hospitals NHS Trust,1
East Lancashire Hospitals NHS Trust,1
East London Cooperatives Ltd,1
East Riding Council,1
East Riding of Yorkshire Council,1
East Sussex Healthcare NHS Trust,1
Eastcroft Nursing Home,1
Education and Children’s Community Health,1
Faculty of Intensive Care Medicine,1
Central London Community Healthcare NHS Trust,1
Chartered Insurance Institute,1
Cheshire Constabulary,1
West Midlands Police,1
West Sussex County Council,1
Westminster City Council,1
Westwood Hall Nursing Home,1
White Horse Medical Practice,1
Whittington Health,1
Whittington Health NHS Trust,1
Wigan Metropolitan Borough Council,1
Williams and Spenceley Limited,1
Willow Grange Care Home,1
Wrexham County Borough Council,1
Cabinet Office,1
Crown Commercial Services,1
[REDACTED] President of The Royal College of Surgeons,1
Walsall Council,1
Walsall Healthcare NHS Trust,1
Wandsworth Council,1
Ward Bros (Malton) Ltd,1
Welsh Ambulance Services University NHS Trust,1
Welsh Parliament,1
YAS Legal,1
York & Scarborough NHS Trust,1
Your Health Partnership Regis Medical Centre,1
[REDACTED] Chief Executive of Digital Health & Care Wales,1
[REDACTED] HMP Garth,1
[REDACTED] President of The Royal College of Phyisicians,1
West Midlands Fire Service,1
WIGAN INTERGRATED CARE BOARD,1
Cabinet Secretary for Health and Social Care,1
Croydon Council,1
Croydon University Hospital,1
Brinnington Surgery,1
British Aerosol Manufacturers Association,1
British Agricultural and Garden Machinery Association,1
British Airline Pilots’ Association,1
British Association for Counselling and Psychotherapy,1
Chesterfield Borough Council,1
Chief Constable Greater Manchester Police,1
Chief Executive Hertfordshire County Council,1
Chief Executive North West Ambulance Service,1
Chief Executive Of Aneurin Bevan University Health Board,1
Chief Executive Of Velindre University Nhs Trust,1
Chief Executive Oldham Borough Council,1
Chief Executive Pennine Care NHS Foundation Trust,1
Castlegate & Derwent Surgery,1
Chief Executive of Cheshire and Wirral Partnership NHS Trust,1
Chief Executive of Worcestershire County Council,1
Chief Executive – Hull Royal Infirmary,1
"Chief Executive, Integrated Care Board",1
Chief Medical Officer for North West Anglia Foundation Trust,1
"Chief Nursing Officer, NHS North-East London Integrated Care Board",1
Circle Health Group Ltd,1
Cambridgeshire Constabulary,1
Cambridgeshire and Peterborough ICB,1
Capital Care Group,1
Cardiff & Vale University Health Board,1
Cardiff and Vale University Health Board,1
Cardinal Health,1
Care4U Healthcare,1
Careline365,1
Chief Executive Whittington Health NHS Trust Whittington Hospital,1
Medical Engineer,1
Medicines UK,1
Medicines and Healthcare Projects Regulation Authority,1
Mental Health Directorate,1
Merthyr Tydfil County Borough Council,1
Metropolitan Police Service (MPS),1
Birchill’s Health Centre,1
Birmingham Women's and Children's NHS Foundation Trust,1
Birmingham and Solihull Mental Health NHS Foundation Trust,1
Black Country Healthcare NHS Foundation Trust,1
London Ambulance Service NHS Trust,1
London Borough of Barking and Dagenham,1
London Borough of Bexley,1
London Borough of Bromley,1
London Borough of Hammersmith & Fulham,1
Fresh Student Living,1
London Borough of Richmond upon Thames,1
London Fire Brigade (LFB),1
London Metropolitan Police,1
Lukka Care Homes Limited,1
MJ Events,1
Macklin Street Surgery,1
Malhorta Group,1
"Managing Director, Sussex Medical Chambers",1
Mandeville Grange Nursing Home,1
Lambeth Council,1
Landlord,1
Leeds City Council,1
Leeds Community Healthcare NHS Trust,1
Leeds Survivor-Led Crisis Service (Leeds OASIS),1
Leeds Teaching Hospitals NHS Trust,1
London Borough of Havering,1
Minster Care Group,1
MoJ,1
Monmouthshire County Council,1
Moorbridge School,1
Mountfield Surgery,1
"Mr Nick Mallaband, Acting Chief Medical Director, Doncaster & Bassetlaw NHS Foundation Trust",1
Mulberry Court Care Home,1
Musgrove Park Hospital,1
NEATH PORT TALBOT COUNCIL,1
NHS Birmingham and Solihull ICB,1
NHS Black Country ICB,1
NHS Cornwall and Isles of Scilly ICB,1
NHS Coventry and Warwickshire ICB,1
Bolton Council,1
Bolton NHS Foundation Trust,1
Meanwood Group Practice,1
Bournemouth Airport,1
"Bournemouth, Christchurch and Poole Council",1
Bradford District Care NHS Foundation Trust,1
Bradford Teaching Hospitals NHS Foundation Trust,1
Wales prevention of future deaths reports (2019 onwards),1
Mid and West Wales Fire and Rescue Service,1
Middlesbrough Council,1
Midlands Partnership University NHS Foundation Trust,1
Midway Pharmacy,1
Mills Family Ltd,1
Milton Keynes City Council,1
Milton Keynes Urgent Care Service,1
Marine Lake Medical Practice,1
Maritime and Coastguard Agency,1
Maylands Healthcare Surgery,1
Boomtown Festival,1
HM Prison Woodhill,1
HM Prison Wymott,1
HMP Coldingley,1
Hampshire County Council,1
Hampshire and IOW Constabulary,1
Hartlepool Council,1
Hatton Traffic Management,1
Health Services Safety Investigations Body,1
Health Services Safety Investigations Body (HSSIB),1
Health and Care Professions Council,1
Henning Hall Nursing Home,1
Herefordshire and Worcestershire Health and Care NHS Trust,1
Hertfordshire County Council,1
Greater Manchester Mental Health NHS Foundation Trust,1
Green Range Limited,1
Leeds and Yorkshire Partnership Foundation Trust (Intensive Supportive Service),1
HCRG Care Group,1
HM Prison & Probation Service,1
HM Prison Belmarsh,1
HM Prison Berwyn,1
HM Prison Eastwood Park,1
HM Prison Elmley,1
HM Prison Guys Marsh,1
HM Prison High Down,1
HM Prison Leeds,1
HM Prison Lowdham Grange,1
HM Prison Rochester,1
HM Prison Wandsworth,1
Food Standards Agency,1
"Foreign, Commonwealth and Development Office",1
Four Seasons Health Care,1
HCRG,1
Leicestershire Partnership NHS Trust,1
Lifestar Medical Limited,1
Lifeway Care Ltd,1
LivaNova UK Limited,1
Ignite Health and Homecare Services,1
Inspire You Care Ltd,1
Integrated Care Board,1
Integrated Care Board (NHS North East and North Cumbria),1
Internation Scientific Supplies Ltd,1
International Academies of Emergency Dispatch,1
Isle of Wight NHS Trust,1
James Paget University NHS Foundation Trust,1
Just Eats,1
Kenny & Murphy Limited,1
Kent Central Ambulance Service,1
IPRS Aeromed,1
Kingston Council,1
High Meadows Care Home,1
Hillcare Group,1
His Majesty’s Prison & Probation Service,1
Holcroft Grange,1
Holderness Health – Hedon Group Practice.,1
Home Group Limited,1
Homerton Healthcare NHS Foundation Trust,1
"Hospital Manager, Goring Hall",1
Hotpoint UK Appliances Limited,1
Hounslow Council,1
Howlish Hall Care Home,1
Hull City Council,1
Hull Royal Infirmary,1
Humber Teaching NHS Foundation Trust,1
Kent Police,1
